Input_igbo,Output_eng
"Ndi ohaneze, na TED anyi na ekwu maka ichi na otu ibido ihe Ka anyi lee anya otu ihe na aga, site na mbido ruo na ngwucha, na ikeji ato ma mutakwa ihe ona akuzi","Ohaneze people, and our TED talk is about focusing on one thing that we see as important, rather than being distracted by many things, so that we can achieve one thing at a time, starting with determination and perseverance until the goal is achieved."
"Nke mbu, okwa unu ma na onye na edu kwesiri igbasike ime ihe ndi ozo ga eji chia ya ochi","As for me, you all believe that anyone who learns from the mistakes of others will not stumble into the same situation."""
mana ihe o na eme di mfe iso Ebe a onye mbu na eso ya nwere oru di ezigbo mkpa oga egosi nmadu nile otu ha ga esi eso,"But what is happening now is very strange. Wherever a person is being praised, they must have a good reason for it, otherwise they will be disgraced in front of everyone.""Igbo: Daalụ (Nkụrụaka)"
mana ihe o na eme di mfe iso Ebe a onye mbu na eso ya nwere oru di ezigbo mkpa oga egosi nmadu nile otu ha ga esi eso,Thank you (Doctor)
"Di ka Udide , ududo omenka Ọbara akụkọ sayensị Afrika gbamiri agbami","ike a rainbow, the beauty of African languages shines brightly like the river."
"ọ kara nka, ọ dịla njikere ịpụta, oge ọ ga-apụta, were uche hụ ihe gbasara teknụzụ ọhụrụ, echiche na mgbanwe ndị mmadụ nke ọ ga-akpalite","If you sow a seed, it will germinate at the appropriate time, when it germinates, it will bear fruits according to its kind, impacting and influencing the lives of people you will encounter."""
"ma biri n'ime ala n'okpuru obodo Lagos na-ege ntị ma na-ekwu na-akpa akụkọ maka ndị si ụwa ọzọ bịa Lagos Na ngwụcha, oke ududo nke ha ka ụlọ nke ọrụ ya bụ ịkpa ihe gara aga, ugbua na ọdịnihu kpebiri ịpụta ma bia soro n'akụkọ ahụ","I was born and raised in the village at the outskirts of Lagos town, where I learned to speak and understand the language because people from different parts come to Lagos for business, so their homes are like a melting pot of different cultures, hence, it is important to be able to communicate effectively in their language."""
Ọ dị na mmụọ dị ike ya na ndi nna nna biiri na Lagos,"He is strong in his father's lineage in Lagos."""
"Abịa na ndi Africa, akụkọ sayensi si Africa nwere ike ịbụ uche ga-enye ike","In Africa, the future of science in Africa has the potential to bring about development."
Ọ dị na mmiri,It is in the water.
Ọ bụrụ na? Ọ bụ ajụjụ siri ike.,s it true? It is a difficult task.
Ndị nke ya niile maara,All of them came
"Ya bụ, na nke a bụ olu Udide, oke ọmenka ududo, bụ onye tọrọ aja","That is, in this case, the owner of the farm, a brave hunter, is the one chasing the dog."""
Ọ dị n'ime obi na uche ndị Lagos Mgbanwe na-ebute mgbanwe,It is in the heart and mind of the people of Lagos to strive for progress and development.
"N'ihi na ọtụtụ ndị nọ na Lagos nwere ngwaọrụ obere a na-achanwu ọkụ, na enwu ọkụ, ma ama jijiji, na-ebe ka nnụnụ, nwekwara njikọ n'ịntaneti, A na edekọ ihe niile, na-ebugo ya n'ịntaneti n'ụzọ ọbụla, n'ụzọ dị iche, ọsịsọ Ụwa agbaaọhụụ ndị mmadụ jikọtara ọnụ ka ọnya nwa ụdudo","Because all the people in Lagos have different businesses that involve buying and selling, as well as online transactions, they conduct all their activities online, in various markets, and in different parts of the world, the internet has made everything easier, connecting people from different places, different cultures, and different continents, making the world a global village."
Mana akụkọ ahụ miri emi,"That statement translates to ""But that story is a lie"" in English."
"Ọ dị n'ụrọ, aja, ala n'ihe omimi nke oke igwe","In the head, the forest, the land of true greatness"
Onye ọbịa Ayodele maara ya,The person Ayodele sent me.
"Edere m maka ịhe dị omimi dị ka awnansị na echiche efu sitere n'ịhụnanya m nwere maka ịhe ndị Igbo na omenala ime ihe mmụọ ya na ofufe ndị ọzọ dị n'ebe ọdịda anyanwụ Afrika Kama, oge ndịda afọ niile gbasara oge 1990 A bịara m hụ ọrụ teknụzụ na-arụ na Naijiria: Ihe onyoyo kebulu ya na ekwentị n'ime ọbọdo, Ndị otiaka 419 na anọ n'ịme ụlọ ịntaneti Igwe mweta ọkụ na-enye kọmpụta ibenna m ọkụ","I am concerned about the genuine things like the advancement of technology that I have a passion for, the Igbo people and their culture in its entirety and the need for Africans to rise above the stereotypes imposed on them by others. During the early 1990s when I started working in Nigeria: The interesting things he encountered in the field, the 419 fraudsters and the scams on the internet made me develop a keen interest in computer security."""
"Ọ dị na-ngwọkọta ihe na-eme n'oge gara aga, ugbu a nakwa n'ọdịnihu","It is important to address issues promptly, before they escalate."""
"Ndekọ nkiri ihe na-eme na-achị akwụkwọ akụkọ ọ bụla dị na mba ụwa ebe nrụọrụ weebụ na-ese foto, netwọk mmekọrịta, okirikiri, piramidi na trapezoidi","eople do various things during holidays such as taking pictures, networking, exploring, visiting pyramids and trapezoids."
"Nke ahụ bụ ezigbo mmeghe na-egosi nnukwu ọgba aghara na-eme na Lagos, Naijiria, ọdịda anyanwụ Afrika, Afrika, ebe a","That place is a good market for buying large quantities of clothes in Lagos, Nigeria, the largest city in Africa, Africa."
Ụwa na-ele anya.,The world is watching.
"O jị oke ụjọ na mmasị na-ele maka ozi, Mana bụrụ karịa maka ntụrụndụ","e went to the market yesterday to buy salt, but ended up buying pepper."
n'ụwa niile,In the whole world
"Ndị ụwa ọzọ bịakwanụ Lagos, Naijiria? Nke a bụ nkewapụ si n'akwụkwọ akụkọ m bu ""Lagoon"" Onye ọbụla hụrụ ya,","Did other people visit Lagos, Nigeria? This is a question asked during a quiz competition called ""Lagoon"". Everyone got it wrong,"
"eji nkuzi na amamiihe chọọ ya mma, ma n'elu akpụkpọ ahụ ya, Binti hapụrụ ụwa","He worked hard to make her happy, but in the end, Binti broke his heart."""
Mmụọ m kpalitere nụ bụ ịhe mechara mụpụta akụkọ.,My friend is asking me for what I owe him.
Ya bụ na akụkọ izizi m dere bụ na Naijiria ka m dere ya,"The reason I am here is because I am in Nigeria."""
Nje m ndị a kpaliri mmụọ m,"The translation of the Igbo sentence ""Nje m ndị a kpaliri mmụọ m"" to English is ""They are blocking my way""."
ịhe ndị Naijiria ejighi kpọrọ ịhe,The people of Nigeria do not lack anything.
"Ọ bụ maka ajụjụ a, ""Gịnị mere ma ọ bụrụ na?"" N'agbanyeghị nke ahụ, ọ bụghị akụkọ sayensị niile si n'otu ahịrị ndi nnanna bụ echiche bụ na akụkọ sayensị ndị bekee, nke na-abụkarị ndị ọcha na ndị nwoke","It is because of this question, ""What did you say happened?"" In response to that, it is not just a mere coincidence that in one of the meetings of the fathers, the main topic was the importance of science and technology in the development of both the white and black men."
maka na ọkụ na-anyụkarị oge ọbụla Onye america m bụ mere ka udi ịhe ndị a jiri kpalie mmụọ m,"Because every time an American comes, it seems like they bring the things my ancestors fought against."
Amalitere m ịmeghe ọnụ ụzọ na amaghị ama,I have not seen you since yesterday
"Kama, ọkwa ọbara Naijirịa m nwere mere m jiri malite dewe akụkọ sayensị","Well, as a Nigerian, I have always had a passion for engaging in scientific discussions."""
Okachasị nje m ezinụlọ anyị gara na Naijiria oge ndịda afọ niile gbasara oge 1990 Ezinụlọ anyị niile na-agakarị Naijiria kemgbe m dị na nwata,Our family has been living in Nigeria since the early 1990s. Our entire family settled in Nigeria when I was a child.
"Wells, George Orwell, Robert Heinlein, dgz","I'm sorry, but the sentence you provided does not seem to be in Igbo or Nigerian Pidgin. Could you please provide the sentence in one of these languages so I can translate it to English for you?"
"Oge m na-etolite, agụghị m ọtụtụ akụkọ sayensị","When I wake up, I don't fully understand the concept of science."
A bụ m onye Naijiria-Amerika.,I am a Nigerian-American.
"Ọ mere m n'ime mmụọ ịde akụkọ a na abụghị na m na-eso usoro ejiri mara akụkọ ngapụ ụwa, ma n'ihi ọbara nke na-agbami agbami, ezinụlọ, esemokwu omenala na mkpa dị n'ịhụ ka nwa agbọghọ Afrika hapụrụ ụwa etu o sịrị chọọ ya","I found myself in the midst of this strange gathering not because I wanted to participate in the affairs of the world, but due to the curiosity that gripped me, the desire for knowledge, cultural exploration, and a burning passion to see Africa's lost glory restored."""
"Akụkọ sayensị m nwere ndị nna nna dị iche, Nke ndị Africa","The story emphasizes that I have ancestors from both sides, those from Africa."""
"Ọ na-apụ dị ka ọ na-adị, dịrị ka ọ na-adị oge ọbụla, buru omenala ya, bụrụ onye ọ bụ","It looks like it's going to rain, it seems like it will rain all day, but weather is unpredictable, only God knows."
"A mụrụ m na ezịnụlọ ndị Naijiria kwabatara Amerika A zụọ m na obodo United States, Otu n'ime ebe akụkọ sayensị malitere",I traveled to the United States from Nigeria to study Military Science.
Binti hapụrụ ụwa ịchọ ịhe ọmụmụ site na ndi ụwa ọzọ,The girl saw the world differently from other people.
"Enweghị m nghọta obụla gbasara akụkọ ndị a na-echegbu onwe m na ịhe gbasara anabataghị ndị ala ọzọ, ọchịchị na ịhụ ndị ọbịa ka ndị ọzọ","I do not care about what others say about me and what they think about me, I focus on myself and what is important to me, regardless of the opinions of others."
"Anyị na-ekwu maka ndị dị ka Isaac Asimov, Jules Verne, H.G","We are talking about people like Isaac Asimov, Jules Verne, H.G. Wells."
"maka ịhe banyere teknụzụ, ọha mmadụ, nsogbu ọha na eze, ihe karịrị ụwa anyị ihe dị n'ime ụwa anyị","Because of the advancement of technology, the world has become a global village, everything happening in our world is interconnected."
"Ahụghị m onye ọ bụla yiri m n'ime akụkọ ndị ahụ N'ime akụkọ ""Binti"" gbara ụzọ atọ,","I do not allow anyone to intimidate me in their conversations In the conversation ""Binti"" she boldly spoke her mind"
Ọtụtụ akụkọ sayensị na-akọwa,"The sentence ""Ọtụtụ akụkọ sayensị na-akọwa"" translates to ""All the stories are based on truth"" in English."
Akụkọ sayensị bụ otu n'ime ndị kacha na ụdị dị na ihe gbasara odide ndọrọ ndọrọ ọchịchị,"Conversation analysis is one of the methods used in studying communication patterns in various social interactions."""
Gịnị mere ma ọ bụrụ na onye Naijiria-Amerika dee akụkọ sayensị?,What made me think that a Nigerian-American person speaks science?
Otu ihe a ka aga ekwu banyere ntọala akụkọ sayensị dị n'ụdị n'ụdị,That thing is going to be discussed extensively during the scientific conference taking place in the university.
Ndị umunne nne m anọ na ụmụnna m abụọ bụ ndị bi na mgbada okporo ụzọ ga na-eti mkpu na agba asịrị n'etiti onwe ha Otu m siri mebie agburu anyi niile,"My siblings, my sisters' children and my brothers' children are those who are causing trouble in the community, they will end up in a situation where they will be left to face the consequences on their own. I have decided to wash my hands off any involvement with them."
Ọ nwere oge ụgbọ njem na arụkarịcha ọrụ mgbe m anaghị emetụ ya aka,It is time for me to start work when I can't avoid it any longer.
"""Gaba,"" ka m kwuru ọzọ, ọsụsọ ana apụta m n'ihu isi.","""Gaba,"" he said to me again, the weight of his words heavy on my mind."
