Input_pid,Output_eng
1. Abeg come wash my car,Please come and wash my car.
"Nna na Abk dey oh....I study at the Delta state university, Abraka.","Dad and Abk are there....I study at the Delta State University, Abraka."
Wetin you dey do here? abeg fly.,What are you doing here? Please leave.
your sister and her friend na A.P.U,Your sister and her friend are members of A.P.U.
Abeg limi o! I don tire. Dis work too much!,"Please, spare me! I am tired. This work is too much!"
You don see all these abero for here,Have you seen all these troublemakers here?
Nobody be aboki for area again o,here are no more northerners in the area.
Aboki abeg go close gate,"Friend, please go and close the gate."
I be abj boy!,I am an Abuja boy!
I no dey wear aba made shoes.,I do not wear shoes made in Aba.
Bolanle Where u Dey? I Dey for ABK O!!,"olanle, where are you? I am in Abeokuta!!"
Mutunin aboki na ne.Example of misuse: The guy na aboki!,he guy is my friend. Example of misuse: The guy is a stranger!
"Abro, your boy dey loyal.","bro, your son is loyal."
You dey go Abs this weekend?,Are you going to Abs this weekend?
To excuse: Abeg I no go fit come for dat dayForgiveness:abeg make you no wex for me oOrder:Abeg make una pay una moni,"To excuse: Please, I won't be able to come on that day Forgiveness: Please, don't be angry with me Order: Please, make sure you pay your money"
Allow the acada o! en think e be professor,Allow the student to think he is a professor.
2. Jackie Chan na im be that actor wey dey fight like monkey.,Jackie Chan is the actor who fights like a monkey.
1. You dey go ABU?,Are you going to ABU?
"If you wan reach there quick quick no enter cab, climb achaba.","If you want to get there quickly, do not take a taxi, ride a motorcycle taxi instead."
Jackie chan and jet life name dem sabi do actor pass.,Jackie Chan and Jet Li are known to be better actors.
"afa na, how you dey","rother, how are you?"
1. man you don see that acata?,"Have you seen that car, man?"
long time oh....!,It has been a long time!
1. Jet Lee na im do actor for body guard.,"Jet Lee is the actor in the movie ""Bodyguard""."
1. I dey go library afta,am going to the library after.
John dey chop adro for notin less dan seven years now.,John has been eating yam porridge for nothing less than seven years now.
1. Abeg bring daddy's agbada,Please bring daddy's agbada.
o boi afar nah!,"Oh boy, it's far!"""
That boy get agada,hat boy is mischievous.
That my acatay friend wey dey Italy dey come this christmas. We go need to arrange small party for am.,y friend from Acata who is in Italy is coming this Christmas. We will need to organize a small party for him.
janet papa ugly pass agaba,Janet's father is uglier than Agaba.
Agege bread na poor man's bread.,Agege bread is the bread of the poor man.
You be confirmed agaracha means you are a woman of easy virtue,"The sentence ""You be confirmed agaracha"" means ""You are a woman of easy virtue"" in English."
1. Musa to dey behave like agbero,. Musa is behaving like a tout.
Man e be like sey agro dey catch James oh,It seems like James is getting into agriculture.
"omo see that agharacha, she think say she fit carry ma moni go.","ook at that arrogant girl, she thinks she can take my money."
1. See that Agbero,. See that Agbero English: Look at that Agbero
B: Ahlie!,: Is that so!
the agidi mama buy come sweet well well.,The agidi that mama bought is very delicious.
A: Arsenal don pack finish,: Arsenal has finished packing
"Jide, why you always like to do ajayi?","Jide, why do you always like to act stubborn?"
1. e girlfriend mama na airforce 1,Her girlfriend's mother is in the airforce.
An elder who beats younger ones,"The sentence ""An elder who beats younger ones"" can be translated to Igbo as ""Onye nwere mmadu nwere otu n'ime ha"" and to Nigerian Pidgin as ""Person wey senior dey beat junior""."
