Input_pid,Output_eng
Chris na apkroko,Chris is a gossip.
"you don de madt ba means u ar now crazy, isn't it?","You are now crazy, aren't you?"
E don scatter? Ayakata!,Has it scattered? It's in disarray!
carry dat baggish commot for here,Take that bag away from here.
Aboki abeg go close gate,"Friend, please go close the gate."
e girlfriend mama na airforce 1,His girlfriend's mother is in the air force.
Shey you no go play baba ijebu today ni?,Aren't you going to play Baba Ijebu today?
Jet Lee na im do actor for body guard.,Jet Lee is the actor in Bodyguard.
shey chief na aristo? yes na he be my sugar daddy,"Is the chief a sugar daddy? Yes, he is my sugar daddy."
My favourite part of the oink is bacun,My favourite part of the pig is bacon.
"ah -ahn, why did you do that!","Ah -ahn, why did you do that!"
As in eh! The guy just fail anyhow.,Seriously! The guy just failed miserably.
Agege bread na poor man's bread.,Agege bread is the poor man's bread.
Why too like Ashana like dis ?,Why do you like prostitutes so much like this?
Me: morning mummy.,"Good morning, mummy."
Omoge ur baka wan make enta trouble,"Girl, your backside is about to cause trouble."
take banga at food is ready,"Eat, the food is ready."
I no dey wear aba made shoes.,I don't wear locally made shoes.
See this atutupoyoyo wey dey form,Look at this very beautiful person pretending.
Omote na real ashy.she no dey sleep house again.,Omote is really promiscuous. She doesn't sleep at home anymore.
Abeg bring daddy's agbada,Please bring daddy's agbada.
"Babe, make we dey go. Tire no dey again.","Babe, let's go. There's no more energy."
I dey go see baba,I am going to see the old man.
I dey go my area,I am going to my area.
"Oh boy, that your babe make sense die.","Oh boy, your girl is extremely attractive."
You know say Chioma na baboon,You know that Chioma is a baboon.
That girl can really azonto,That girl can really dance.
Mum: awayu!,Mum: I'm fine!
I dey go library afta,I am going to the library later.
"We no dey carry last, as e dey hot, we dey drop am..","We never come last; as it's trending, we release it."
Kingsley na correct ajepaco guy.,Kingsley is a real street-smart guy.
"If you wan reach there quick quick no enter cab, climb achaba.","If you want to get there quickly, don't take a taxi, ride on a motorcycle taxi."
You don see all these abero for here,Have you seen all these newcomers here?
